date,place,company_name,budget,status,result,space_flight_name
"Tue Jun 27, 1995 19:32 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Atlantis | STS-71
"Thu Jun 22, 1995 19:58 UTC"," Vandenberg SFB, California, USA",Northrop,Price: $40.0 million,Status: Active,Failure,Pegasus XL | STEP-3
"Sat Jun 10, 1995 00:24 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 42P | DirecTV 3
"Thu Jun 08, 1995 04:43 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $0.0 million,Status: Retired,Success,Tsyklon-2 | Cosmos 2313
"Wed May 31, 1995 15:27 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Atlas II | UHF F5 (USA-111)
"Wed May 24, 1995 20:10 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Molniya-M /Block 2BL | Cosmos 2312
"Tue May 23, 1995 05:52 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Atlas I | GOES-J
"Sat May 20, 1995 03:33 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,Proton-K | Spektr
"Wed May 17, 1995 06:34 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 44LP | Intelsat 706
"Sun May 14, 1995 13:45 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Titan IV(401)A | Mentor
"Fri Apr 21, 1995 01:44 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 40 | ERS-2
"Sun Apr 09, 1995 19:34 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $20.0 million,Status: Retired,Success,Soyuz U | Progress M-27
"Fri Apr 07, 1995 23:47 UTC"," Cape Canaveral SFS, Florida, USA",ILS,Price: $0.0 million,Status: Retired,Success,Atlas IIA | AMSC-1
"Wed Apr 05, 1995 11:16 UTC"," Palmachim Airbase, Israel",IAI,Price: $0.0 million,Status: Retired,Success,Shavit-1 | Ofek-3
"Mon Apr 03, 1995 13:48 UTC"," Vandenberg SFB, California, USA",Northrop,Price: $40.0 million,Status: Retired,Success,Pegasus | Orbcomm F1 and F2 & OrbView-1
"Tue Mar 28, 1995 23:14 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 44LP | Brasilsat B2 & Hotbird 1
"Tue Mar 28, 1995 10:00 UTC"," Plesetsk Cosmodrome, Russia",MITT,Price: $0.0 million,Status: Retired,Failure,"START | EKA-2, Gurwin-1A & UNAMSat-A"
"Fri Mar 24, 1995 14:05 UTC"," Vandenberg SFB, California, USA",General Dynamics,Price: $0.0 million,Status: Retired,Success,Atlas-E/F Star-37S-ISS | DMSP-5D2 F13 (USA-109)
"Wed Mar 22, 1995 16:44 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $20.0 million,Status: Retired,Success,Soyuz U | Cosmos 2311
"Wed Mar 22, 1995 06:18 UTC"," Cape Canaveral SFS, Florida, USA",ILS,Price: $0.0 million,Status: Retired,Success,Atlas IIAS | Intelsat 705
"Wed Mar 22, 1995 04:09 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Cosmos-3M | Cosmos 2310
"Sat Mar 18, 1995 08:01 UTC"," Tanegashima Space Center, Japan",MHI,Price: $0.0 million,Status: Retired,Success,H-II | Himawari 5 & SFU 1
"Tue Mar 14, 1995 06:11 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $40.0 million,Status: Retired,Success,Soyuz U2 | Soyuz TM-21
"Tue Mar 07, 1995 09:23 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,"Proton K/Block-DM-2 | Cosmos 2307, 2308 & 2309"
"Thu Mar 02, 1995 13:00 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Cosmos-3M | Cosmos 2306
"Thu Mar 02, 1995 06:38 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Endeavour | STS-67
"Thu Feb 16, 1995 17:39 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $20.0 million,Status: Retired,Success,Soyuz U | Foton 10
