Date,Event leading to space exploration,Country,Researcher(s),Ref(s).,Mission success,Mission name,Mission achievements,Country/organization
November 2001,,,,[40],First laser communication in space between two objects.,"Artemis, SPOT 4",,ESA France (CNES)
1 July 2004,,,,,First orbit of Saturn.,Cassini–Huygens,,USA (NASA) ESA Italy (ASI)
8 September 2004,,,,,First sample return beyond lunar orbit (solar wind).,Genesis,,USA (NASA)
14 January 2005,,,,,First landing in the outer Solar System (Titan). First landing on a moon other than Earth's Moon.,Cassini–Huygens,,ESA USA (NASA) Italy (ASI)
January–February 2005,,,,[41],First confirmed cryovolcano (Enceladus).,Cassini–Huygens,,ESA USA (NASA) Italy (ASI)
4 July 2005,,,,,First spacecraft to impact a comet (Tempel 1).,Deep Impact,,USA (NASA)
19 November 2005,,,,,First asteroid ascent (25143 Itokawa). First interplanetary escape without separating and discarding the landing gear.,Hayabusa,,Japan (JAXA)
15 January 2006,,,,[42],First sample return from a comet (81P/Wild).,Stardust,,USA (NASA)
3 January 2007,,,,[43][44],First confirmed lakes on the surface of another celestial body (lakes of Titan).,Cassini–Huygens,,USA (NASA) ESA Italy (ASI)
25 May 2008,,,,[45],"First spacecraft to photograph another spacecraft landing on another celestial body (Phoenix, on Mars).",Mars Reconnaissance Orbiter,,USA (NASA)
8 November 2008,,,,[46][47],First discovery of lunar water in the form of ice.[note 3],Chandrayaan-1,,India (ISRO)
6 March 2009,,,,[48],First space telescope designated to search for Earth-like exoplanets.,Kepler Mission,,USA (NASA)
August 2009,,,,[49][50],First images of the structures in the rings of a planet (rings of Saturn).,Cassini–Huygens,,USA (NASA) ESA Italy (ASI)
20 May 2010,,,,[51],First solar sail.,IKAROS,,Japan (JAXA)
13 June 2010,,,,,First sample return from an asteroid (25143 Itokawa).,Hayabusa,,Japan (JAXA)
25 August 2010,,,,[52],First spacecraft to orbit one of the Moon's Lagrange point (L2).,ARTEMIS-P1,,USA (NASA)
22 October 2010,,,,[52],First spacecraft to orbit the Moon's Lagrange 1 point.,ARTEMIS-P2,,USA (NASA)
18 March 2011,,,,,First orbit of Mercury.,MESSENGER,,USA (NASA)
16 July 2011,,,,,First orbit of an object in the asteroid belt (4 Vesta).,Dawn,,USA (NASA)
6 August 2012,,,,[53],First use of a sky crane to land on another celestial body (Mars).,Mars Science Laboratory,,USA (NASA)
25 August 2012,,,,[54],First spacecraft to leave the heliosphere. First spacecraft in interstellar space.,Voyager 1,,USA (NASA)
January 2013,,,,[55],First laser communication with a lunar satellite.,Lunar Reconnaissance Orbiter,,USA (NASA)
10 September 2014,,,,[56],First spacecraft to orbit a comet nucleus (67P/Churyumov–Gerasimenko).,Rosetta,,ESA
